Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
AB de Villiers,1207.0,54.86,98.12,4,10,162.0,1029.0,47
Aamer Sohail,598.0,37.38,58.75,2,6,114.0,847.0,53
Aaqib Javed,8.0,2.67,24.36,0,0,6.0,43.0,15
Aaron Finch,787.0,43.72,88.29,3,7,153.0,801.0,45
Aashish Kapoor,0.0,0.0,0.0,0,0,0.0,1.0,1
Aasif Karim,79.0,7.9,38.16,0,0,22.0,148.0,15
Abdool Samad,72.0,18.0,54.6,0,0,36.0,133.0,34
Abdul Qadir,118.0,13.11,90.22,0,0,41.0,148.0,17
Abdul Razzaq,373.0,19.63,66.94,0,2,62.0,665.0,35
Abdullah Shafique,336.0,42.0,71.4,1,4,113.0,360.0,45
Abdur Razzak,44.0,4.0,35.7,0,0,15.0,88.0,8
Abdur Rehman,6.0,3.0,88.33,0,0,5.0,13.0,7
Adam Dale,3.0,3.0,60.0,0,0,3.0,5.0,5
Adam Gilchrist,1085.0,35.0,84.49,1,9,149.0,1107.0,36
Adam Hollioake,6.0,6.0,46.15,0,0,6.0,13.0,13
Adam Huckle,0.0,0.0,0.0,0,0,0.0,2.0,1
Adam Milne,1.0,0.5,16.66,0,0,1.0,5.0,3
Adam Parore,206.0,18.73,76.63,0,1,55.0,242.0,22
Adam Zampa,49.0,6.12,60.59,0,0,29.0,63.0,8
Adeel Raja,10.0,2.0,19.43,0,0,8.0,34.0,7
Adil Rashid,137.0,9.79,86.29,0,0,25.0,129.0,10
Adrian Kuiper,113.0,14.12,82.89,0,0,36.0,158.0,20
Afsar Zazai,36.0,6.0,22.97,0,0,19.0,99.0,17
Aftab Ahmed,128.0,14.22,102.34,0,0,35.0,151.0,17
Aftab Alam,28.0,7.0,64.16,0,0,14.0,24.0,6
Ahmed Shehzad,271.0,22.58,49.97,0,2,93.0,404.0,34
Aiden Markram,546.0,34.12,121.37,1,4,106.0,552.0,35
Ajantha Mendis,0.0,0.0,0.0,0,0,0.0,2.0,2
Ajay Jadeja,522.0,29.0,73.84,1,3,100.0,727.0,41
Ajinkya Rahane,208.0,29.71,69.41,0,1,79.0,252.0,36
Ajit Agarkar,11.0,3.67,20.0,0,0,10.0,32.0,11
Ajit de Silva,2.0,1.0,9.09,0,0,2.0,23.0,12
Ajmal Shahzad,7.0,3.5,166.66,0,0,6.0,5.0,3
Akram Khan,119.0,17.0,34.39,0,0,44.0,237.0,34
Al Sahariar,38.0,7.6,55.86,0,0,14.0,69.0,14
Alan Hurst,6.0,3.0,90.0,0,0,3.0,12.0,6
Alan Knott,18.0,9.0,47.37,0,0,18.0,24.0,12
Alan Mullally,1.0,0.5,8.33,0,0,1.0,8.0,4
Alan Turner,161.0,40.25,62.11,1,1,101.0,205.0,52
Alasdair Evans,38.0,9.5,38.92,0,0,28.0,57.0,15
Alec Davies,83.0,16.6,47.96,0,0,32.0,154.0,31
Alec Stewart,606.0,27.55,53.08,0,4,88.0,985.0,45
Alex Carey,375.0,37.5,103.33,0,3,85.0,362.0,37
Alex Cusack,99.0,12.38,74.91,0,0,47.0,127.0,16
Alex Hales,64.0,32.0,95.77,0,0,37.0,67.0,34
Alex Obanda,43.0,14.33,78.48,0,0,23.0,65.0,22
Alexei Kervezee,98.0,12.25,52.51,0,0,18.0,180.0,23
Ali Shah,266.0,16.62,39.63,0,1,60.0,585.0,37
Alistair Campbell,281.0,15.61,43.5,0,1,75.0,528.0,30
Allan Border,452.0,18.83,63.6,0,1,67.0,640.0,27
Allan Donald,13.0,2.6,21.53,0,0,7.0,40.0,8
Allan Lamb,656.0,38.59,79.91,1,4,102.0,780.0,46
Alok Kapali,80.0,16.0,56.73,0,0,32.0,126.0,26
Alpesh Vadher,141.0,28.2,44.11,0,2,73.0,244.0,49
Alvin Kallicharran,239.0,34.14,63.86,0,2,78.0,336.0,48
Aminul Islam,45.0,9.0,29.19,0,0,15.0,122.0,25
Amjad Ali,96.0,16.0,44.86,0,0,45.0,185.0,31
Amjad Javed,170.0,28.33,99.06,0,1,56.0,195.0,33
Anamul Haque,58.0,29.0,60.08,0,0,29.0,98.0,49
Anderson Cummins,21.0,5.25,55.21,0,0,9.0,45.0,12
Andile Phehlukwayo,172.0,21.5,86.97,0,0,46.0,193.0,25
Andre Adams,90.0,18.0,86.53,0,0,36.0,76.0,16
Andre Botha,84.0,9.33,37.95,0,0,28.0,174.0,20
Andre Nel,9.0,4.5,19.76,0,0,8.0,46.0,23
Andre Russell,192.0,16.0,109.75,0,0,49.0,143.0,12
Andrew Flintoff,263.0,18.79,51.77,0,1,64.0,387.0,28
Andrew Hall,50.0,10.0,80.83,0,0,22.0,49.0,10
Andrew Hilditch,143.0,47.67,59.77,0,1,72.0,267.0,89
Andrew Hudson,571.0,47.58,71.16,1,5,161.0,738.0,62
Andrew Jones,416.0,32.0,53.34,0,4,78.0,673.0,52
Andrew Strauss,417.0,37.91,66.35,1,2,158.0,483.0,44
Andrew Symonds,515.0,39.62,93.03,1,4,143.0,552.0,43
Andrew White,143.0,14.3,67.93,0,0,38.0,210.0,21
Andrew Zesers,10.0,5.0,142.42,0,0,8.0,14.0,7
Andri Berenger,53.0,8.83,49.46,0,0,22.0,111.0,19
Andy Balbirnie,236.0,39.33,87.94,0,2,97.0,260.0,44
Andy Bichel,117.0,39.0,87.34,0,1,64.0,140.0,47
Andy Blignaut,123.0,20.5,89.25,0,2,58.0,89.0,15
Andy Caddick,25.0,6.25,94.29,0,0,13.0,57.0,15
Andy Flower,815.0,28.1,57.38,1,5,115.0,1195.0,42
Andy McBrine,2.0,2.0,50.0,0,0,2.0,4.0,4
Andy McKay,0.0,0.0,0.0,0,0,0.0,2.0,2
Andy Pycroft,295.0,15.53,42.92,0,2,61.0,560.0,30
Andy Roberts,85.0,10.62,58.02,0,0,37.0,157.0,20
Andy Waller,479.0,23.95,76.99,0,2,83.0,664.0,34
Andy Whittall,3.0,3.0,50.0,0,0,3.0,6.0,6
Angelo Mathews,584.0,27.81,75.32,1,3,113.0,699.0,34
Angus Fraser,18.0,9.0,52.45,0,0,15.0,35.0,18
Anil Kumble,62.0,7.75,79.95,0,0,17.0,88.0,11
Anura Ranasinghe,23.0,7.67,38.97,0,0,14.0,43.0,15
Anura Tennekoon,137.0,34.25,53.09,0,1,59.0,207.0,52
Arafat Sunny,3.0,3.0,100.0,0,0,3.0,3.0,3
Aravinda de Silva,1064.0,33.25,72.82,2,8,145.0,1229.0,39
Arjuna Ranatunga,969.0,33.41,73.38,0,7,88.0,1197.0,42
Arshad Laeeq,66.0,16.5,35.17,0,0,43.0,140.0,35
Aryan Dutt,70.0,7.78,88.59,0,0,23.0,87.0,10
Asad Shafiq,154.0,51.33,71.37,0,1,78.0,217.0,73
Asanka Gurusinha,488.0,28.71,53.35,0,3,87.0,789.0,47
Asghar Afghan,226.0,20.55,69.43,0,1,54.0,272.0,25
