Player,No. of Wickets,Bowling Average,Average ECON,Average Strike Rate,Total Five Wicket Hauls,Average Balls,Total Overs
AB de Villiers,4,14.38,5.67,14.25,0,21.0,14.0
Aamer Sohail,8,12.31,5.05,17.08,0,39.69,86.0
Aaqib Javed,18,20.63,4.07,27.97,0,49.73,123.8
Aaron Finch,1,6.5,6.75,6.0,0,9.0,3.0
Aashish Kapoor,1,20.5,4.05,30.0,0,60.0,20.0
Aasif Karim,8,13.02,4.81,18.76,0,45.57,106.2
Abdool Samad,2,20.67,8.69,15.33,0,21.33,10.399999999999999
Abdul Qadir,24,9.92,3.77,16.88,1,62.62,135.4
Abdul Razzaq,19,9.84,4.51,16.76,0,40.0,140.0
Abdur Razzak,20,18.36,4.88,23.69,0,48.67,121.4
Abdur Rehman,3,31.4,4.25,36.0,0,54.0,45.0
Adam Dale,1,9.0,3.55,15.0,0,45.0,15.0
Adam Hollioake,1,7.0,5.1,12.0,0,36.0,18.0
Adam Huckle,1,21.5,3.9,30.0,0,60.0,20.0
Adam Milne,5,22.17,5.19,24.33,0,39.33,39.2
Adam Zampa,28,26.18,5.83,27.43,0,51.6,129.0
Adeel Raja,6,5.67,5.75,6.71,0,45.67,45.0
Adil Rashid,26,18.0,5.68,21.2,0,51.5,171.4
Adrian Kuiper,9,7.54,7.02,9.0,0,30.75,41.0
Aftab Ahmed,1,3.0,8.25,3.0,0,7.75,5.1
Aftab Alam,6,24.12,5.63,21.33,0,43.75,29.1
Aiden Markram,2,6.43,5.76,10.29,0,26.14,30.3
Ajantha Mendis,7,15.13,3.16,28.93,0,51.2,42.0
Ajay Jadeja,3,6.33,6.65,7.5,0,28.33,28.2
Ajit Agarkar,7,34.61,4.94,39.33,0,56.0,56.0
Ajit de Silva,1,19.5,4.91,36.0,0,57.0,19.0
Ajmal Shahzad,3,7.17,5.46,10.0,0,54.0,18.0
Alan Hurst,7,34.07,3.6,48.0,1,64.0,32.0
Alan Mullally,10,11.65,3.52,21.0,0,60.0,50.0
Alasdair Evans,6,41.0,5.38,45.0,0,60.0,40.0
Alex Cusack,7,8.67,5.64,11.58,0,37.22,55.5
Ali Shah,11,15.68,4.72,21.86,0,44.79,104.3
Alistair Campbell,0,0.0,4.33,0.0,0,18.0,3.0
Allan Border,9,15.29,5.0,19.0,0,36.5,73.0
Allan Donald,38,15.54,4.25,22.59,0,52.52,217.7
Allan Lamb,0,0.0,3.0,0.0,0,6.0,1.0
Alok Kapali,2,3.67,5.37,12.0,0,23.0,23.0
Amjad Javed,7,28.42,6.37,26.33,0,48.0,48.0
Anderson Cummins,14,22.94,4.81,26.56,0,56.0,84.0
Andile Phehlukwayo,12,36.22,5.56,38.94,0,45.89,68.1
Andre Adams,10,35.29,6.37,34.21,0,49.43,57.4
Andre Botha,9,20.91,3.92,30.0,0,45.33,68.0
Andre Nel,12,20.36,4.08,27.0,1,52.33,52.2
Andre Russell,23,18.88,5.67,20.68,0,42.93,100.1
Andrew Flintoff,23,18.82,4.18,26.93,0,47.88,135.0
Andrew Hall,19,15.05,4.36,22.17,1,49.5,98.6
Andrew Jones,2,10.5,4.0,13.5,0,36.0,12.0
Andrew Symonds,5,4.04,5.64,5.0,0,24.67,49.2
Andrew White,3,6.25,5.54,8.0,0,23.17,23.1
Andrew Zesers,1,18.5,5.13,18.0,0,45.0,15.0
Andy Bichel,16,12.52,3.04,17.32,1,42.75,57.0
Andy Blignaut,4,18.42,4.48,24.0,0,57.0,57.0
Andy Caddick,8,11.75,4.01,15.1,0,52.8,44.0
Andy McBrine,3,29.17,5.3,26.0,0,56.0,28.0
Andy McKay,1,37.0,3.76,59.0,0,59.0,9.5
Andy Roberts,26,12.77,3.18,26.06,0,63.67,158.7
Andy Whittall,3,23.83,5.38,28.0,0,54.0,27.0
Angelo Mathews,19,19.19,5.07,22.09,0,33.82,95.5
Angus Fraser,1,9.0,3.7,20.0,0,60.0,30.0
Anil Kumble,31,19.09,4.07,28.46,0,57.72,172.7
Anthony Ireland,1,38.0,5.42,42.0,0,42.0,7.0
Anura Ranasinghe,0,0.0,5.59,0.0,0,30.0,10.0
Arafat Sunny,0,0.0,5.25,0.0,0,48.0,8.0
Aravinda de Silva,16,12.7,5.21,16.36,0,36.82,135.0
Arjuna Ranatunga,6,8.57,6.55,9.8,0,32.47,81.1
Arshad Laeeq,1,6.25,6.56,10.5,0,28.5,19.0
Aryan Dutt,10,23.57,5.57,26.89,0,51.67,77.3
