VS,Player, ,Batting Possition,Match Id,Teaminnings,Runs,Balls,Mins,Fours,Sixs,Strike Rate
Australia VS West Indies,Roy Fredericks,hit wicket b Lillee,1.0,ODI # 33,West Indies,7.0,13.0,14.0,0.0,0.0,53.84
Australia VS West Indies,Gordon Greenidge,c †Marsh b Thomson,2.0,ODI # 33,West Indies,13.0,61.0,80.0,1.0,0.0,21.31
Australia VS West Indies,Alvin Kallicharran,c †Marsh b Gilmour,3.0,ODI # 33,West Indies,12.0,18.0,26.0,2.0,0.0,66.66
Australia VS West Indies,Rohan Kanhai, b Gilmour,4.0,ODI # 33,West Indies,55.0,105.0,156.0,8.0,0.0,52.38
Australia VS West Indies,Clive Lloyd,c †Marsh b Gilmour,5.0,ODI # 33,West Indies,102.0,85.0,108.0,12.0,2.0,120.0
Australia VS West Indies,Viv Richards, b Gilmour,6.0,ODI # 33,West Indies,5.0,11.0,12.0,1.0,0.0,45.45
Australia VS West Indies,Keith Boyce,c GS Chappell b Thomson,7.0,ODI # 33,West Indies,34.0,37.0,43.0,3.0,0.0,91.89
Australia VS West Indies,Bernard Julien,not out ,8.0,ODI # 33,West Indies,26.0,37.0,54.0,1.0,0.0,70.27
Australia VS West Indies,Deryck Murray,c & b Gilmour,9.0,ODI # 33,West Indies,14.0,10.0,11.0,1.0,1.0,140.0
Australia VS West Indies,Vanburn Holder,not out ,10.0,ODI # 33,West Indies,6.0,2.0,1.0,1.0,0.0,300.0
Australia VS West Indies,Alan Turner,run out (Richards),1.0,ODI # 33,Australia,40.0,54.0,85.0,4.0,0.0,74.07
Australia VS West Indies,Rick McCosker,c Kallicharran b Boyce,2.0,ODI # 33,Australia,7.0,24.0,29.0,1.0,0.0,29.16
Australia VS West Indies,Ian Chappell,run out (Richards/Lloyd),3.0,ODI # 33,Australia,62.0,93.0,125.0,6.0,0.0,66.66
Australia VS West Indies,Greg Chappell,run out (Richards),4.0,ODI # 33,Australia,15.0,23.0,24.0,2.0,0.0,65.21
Australia VS West Indies,Doug Walters, b Lloyd,5.0,ODI # 33,Australia,35.0,51.0,52.0,5.0,0.0,68.62
Australia VS West Indies,Rod Marsh, b Boyce,6.0,ODI # 33,Australia,11.0,24.0,34.0,0.0,0.0,45.83
Australia VS West Indies,Ross Edwards,c Fredericks b Boyce,7.0,ODI # 33,Australia,28.0,37.0,51.0,2.0,0.0,75.67
