VS,Match Id,Player,Overs,Teaminnings,Mins,Given Runs,Wickets,ECON,Dot Balls,Fours,Sixs,Wides,No Balls,Bowling Average,Balls,Strike Rate,Five Wicket Hauls,Bowling Figure
Australia VS West Indies,ODI # 33,Dennis Lillee,9.0,England,3,26,1,2.88,0,0,0,0,0,26.0,54,54.0,0,1/26
Australia VS West Indies,ODI # 33,Gary Gilmour,12.0,England,6,14,6,1.16,0,0,0,0,0,2.33,72,12.0,1,6/14
Australia VS West Indies,ODI # 33,Max Walker,9.2,England,3,22,3,2.35,0,0,0,0,0,7.33,56,18.67,0,3/22
Australia VS West Indies,ODI # 33,Jeff Thomson,6.0,England,0,17,0,2.83,0,0,0,0,0,0.0,36,0.0,0,0/17
Australia VS West Indies,ODI # 33,Geoff Arnold,7.4,Australia,2,15,1,1.95,0,0,0,0,0,15.0,46,46.0,0,1/15
Australia VS West Indies,ODI # 33,John Snow,12.0,Australia,0,30,2,2.5,0,0,0,0,0,15.0,72,36.0,0,2/30
Australia VS West Indies,ODI # 33,Chris Old,7.0,Australia,2,29,3,4.14,0,0,0,0,0,9.67,42,14.0,0,3/29
Australia VS West Indies,ODI # 33,Peter Lever,2.0,Australia,0,7,0,3.5,0,0,0,0,0,0.0,12,0.0,0,0/7
England VS Australia,ODI # 31,Bernard Julien,12.0,New Zealand,5,27,4,2.25,0,0,0,0,0,6.75,72,18.0,0,4/27
England VS Australia,ODI # 31,Andy Roberts,11.0,New Zealand,3,18,2,1.63,0,0,0,0,0,9.0,66,33.0,0,2/18
England VS Australia,ODI # 31,Vanburn Holder,8.2,New Zealand,0,30,3,3.6,0,0,0,0,0,10.0,50,16.67,0,3/30
England VS Australia,ODI # 31,Keith Boyce,9.0,New Zealand,0,31,0,3.44,0,0,0,0,0,0.0,54,0.0,0,0/31
England VS Australia,ODI # 31,Clive Lloyd,12.0,New Zealand,1,37,1,3.08,0,0,0,0,0,37.0,72,72.0,0,1/37
England VS Australia,ODI # 31,Richard Collinge,12.0,West Indies,4,28,3,2.33,0,0,0,0,0,9.33,72,24.0,0,3/28
England VS Australia,ODI # 31,Dayle Hadlee,10.0,West Indies,0,54,1,5.4,0,0,0,0,0,54.0,60,60.0,0,1/54
England VS Australia,ODI # 31,Lance Cairns,6.1,West Indies,2,23,0,3.72,0,0,0,0,0,0.0,37,0.0,0,0/23
England VS Australia,ODI # 31,Brian McKechnie,8.0,West Indies,0,37,1,4.62,0,0,0,0,0,37.0,48,48.0,0,1/37
England VS Australia,ODI # 31,Hedley Howarth,4.0,West Indies,0,15,0,3.75,0,0,0,0,0,0.0,24,0.0,0,0/15
New Zealand VS West Indies,ODI # 32,Frasat Ali,9.0,England,0,40,0,4.44,0,0,0,0,0,0.0,54,0.0,0,0/40
New Zealand VS West Indies,ODI # 32,Don Pringle,12.0,England,0,41,0,3.41,0,0,0,0,0,0.0,72,0.0,0,0/41
New Zealand VS West Indies,ODI # 32,Parbhu Nana,12.0,England,2,46,0,3.83,0,0,0,0,0,0.0,72,0.0,0,0/46
New Zealand VS West Indies,ODI # 32,Ramesh Sethi,5.0,England,0,29,0,5.8,0,0,0,0,0,0.0,30,0.0,0,0/29
New Zealand VS West Indies,ODI # 32,Zulfiqar Ali,12.0,England,0,63,3,5.25,0,0,0,0,0,21.0,72,24.0,0,3/63
New Zealand VS West Indies,ODI # 32,Mehmood Quaraishy,10.0,England,0,55,2,5.5,0,0,0,0,0,27.5,60,30.0,0,2/55
New Zealand VS West Indies,ODI # 32,John Snow,12.0,East Africa,6,11,4,0.91,0,0,0,0,0,2.75,72,18.0,0,4/11
New Zealand VS West Indies,ODI # 32,Peter Lever,12.0,East Africa,3,32,3,2.66,0,0,0,0,0,10.67,72,24.0,0,3/32
New Zealand VS West Indies,ODI # 32,Derek Underwood,10.0,East Africa,5,11,0,1.1,0,0,0,0,0,0.0,60,0.0,0,0/11
New Zealand VS West Indies,ODI # 32,Barry Wood,7.0,East Africa,3,10,0,1.42,0,0,0,0,0,0.0,42,0.0,0,0/10
New Zealand VS West Indies,ODI # 32,Tony Greig,10.0,East Africa,1,18,2,1.8,0,0,0,0,0,9.0,60,30.0,0,2/18
New Zealand VS West Indies,ODI # 32,Chris Old,1.3,East Africa,0,2,1,1.33,0,0,0,0,0,2.0,9,9.0,0,1/2
England VS East Africa,ODI # 27,Richard Collinge,12.0,India,2,43,0,3.58,0,0,0,0,0,0.0,72,0.0,0,0/43
England VS East Africa,ODI # 27,Richard Hadlee,12.0,India,2,48,2,4.0,0,0,0,0,0,24.0,72,36.0,0,2/48
England VS East Africa,ODI # 27,Dayle Hadlee,12.0,India,3,32,2,2.66,0,0,0,0,0,16.0,72,36.0,0,2/32
England VS East Africa,ODI # 27,Brian McKechnie,12.0,India,1,49,3,4.08,0,0,0,0,0,16.33,72,24.0,0,3/49
England VS East Africa,ODI # 27,Hedley Howarth,12.0,India,0,48,2,4.0,0,0,0,0,0,24.0,72,36.0,0,2/48
England VS East Africa,ODI # 27,Madan Lal,11.5,New Zealand,1,62,1,5.23,0,0,0,0,0,62.0,71,71.0,0,1/62
England VS East Africa,ODI # 27,Mohinder Amarnath,8.0,New Zealand,1,40,1,5.0,0,0,0,0,0,40.0,48,48.0,0,1/40
England VS East Africa,ODI # 27,Bishan Bedi,12.0,New Zealand,6,28,1,2.33,0,0,0,0,0,28.0,72,72.0,0,1/28
England VS East Africa,ODI # 27,Syed Abid Ali,12.0,New Zealand,2,35,2,2.91,0,0,0,0,0,17.5,72,36.0,0,2/35
England VS East Africa,ODI # 27,Srinivas Venkataraghavan,12.0,New Zealand,0,39,0,3.25,0,0,0,0,0,0.0,72,0.0,0,0/39
England VS East Africa,ODI # 27,Eknath Solkar,3.0,New Zealand,0,16,0,5.33,0,0,0,0,0,0.0,18,0.0,0,0/16
India VS New Zealand,ODI # 28,Bernard Julien,12.0,Australia,2,31,1,2.58,0,0,0,0,0,31.0,72,72.0,0,1/31
India VS New Zealand,ODI # 28,Andy Roberts,10.4,Australia,1,39,3,3.65,0,0,0,0,0,13.0,64,21.33,0,3/39
India VS New Zealand,ODI # 28,Keith Boyce,11.0,Australia,0,38,2,3.45,0,0,0,0,0,19.0,66,33.0,0,2/38
India VS New Zealand,ODI # 28,Vanburn Holder,10.0,Australia,0,31,1,3.1,0,0,0,0,0,31.0,60,60.0,0,1/31
India VS New Zealand,ODI # 28,Clive Lloyd,4.0,Australia,1,19,0,4.75,0,0,0,0,0,0.0,24,0.0,0,0/19
