id,Ground,location,Also knows as,Established,Named After,Capacity,End Names,Flood Lights,Home Teams,Other Sports,Pitch,Curator,Current Local Time,Playing area
ODI # 33,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 31,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 32,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 27,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 28,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 29,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 30,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 23,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 24,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 25,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 26,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 19,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 20,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 21,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
