Full Name,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Died,Also Known As,Other,RELATIONS, (son),Height,Education,Nicknames, (brother), (cousin)," (father),"," (brother),"," (son),"," (grandfather),",Fielding Position," (nephew),"," (cousin),", (nephew), (father), (niece)," (twin brother),", (uncle), (brother-in-law),links, (sister)," (uncle),"," (brother-in-law),", (half-brother), (twin brother), (aunt), (wife)," (great-uncle),"
Dennis Keith Lillee,Dennis Lillee,"July 18, 1949, Subiaco, Perth, Western Australia",75y 128d,Right hand Bat,Right arm Fast,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary John Gilmour,Gary Gilmour,"June 26, 1951, Waratah, New South Wales",,Left hand Bat,Left arm Fast medium,,"June 10, 2014, RPA Hospital, Sydney, (aged 62y 349d)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxwell Henry Norman Walker,Max Walker,"September 12, 1948, West Hobart, Tasmania",,Right hand Bat,Right arm Fast medium,Bowler,"September 28, 2016 (aged 68y 16d)",Tangles,Commentator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Robert Thomson,Jeff Thomson,"August 16, 1950, Greenacre, Sydney, New South Wales",74y 99d,Right hand Bat,Right arm Fast,Bowler,,,,MW Thomson (son),MW Thomson (son),,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoffrey Graham Arnold,Geoff Arnold,"September 03, 1944, Earlsfield, Surrey",80y 81d,Right hand Bat,Right arm Fast medium,Bowler,,Horse,Coach,,,6ft 1in,"Elliott Comprehensive, Putney Heath",,,,,,,,,,,,,,,,,,,,,,,,,
John Augustine Snow,John Snow,"October 13, 1941, Peopleton, Worcestershire",83y 41d,Right hand Bat,Right arm Fast medium,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Middleton Old,Chris Old,"December 22, 1948, Middlesbrough, Yorkshire",75y 337d,Left hand Bat,Right arm Fast medium,Bowler,,,,AGB Old (brother),,6ft 3in,Acklam Hall Secondary Grammar School,Chilly,AGB Old (brother),,,,,,,,,,,,,,,,,,,,,,,
Peter Lever,Peter Lever,"September 17, 1940, Todmorden, Yorkshire",84y 67d,Right hand Bat,Right arm Fast medium,Bowler,,,,C Lever (brother),,,,,C Lever (brother),,,,,,,,,,,,,,,,,,,,,,,
Bernard Denis Julien,Bernard Julien,"March 13, 1950, Carenage, Trinidad",74y 255d,Right hand Bat,Left arm Medium fast,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Montgomery Everton Roberts,Andy Roberts,"January 29, 1951, Urlings Village, Antigua",73y 299d,Right hand Bat,Right arm Fast,Bowler,,Sir Andy Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanburn Alonzo Holder,Vanburn Holder,"October 10, 1945, Deans Village, St Michael, Barbardos",79y 44d,Right hand Bat,Right arm Fast medium,Bowler,,,Umpire,,,,,Van,,,,,,,,,,,,,,,,,,,,,,,,
