Name,Link
Dennis Lillee,https://www.espncricinfo.com/cricketers/dennis-lillee-6295
Gary Gilmour,https://www.espncricinfo.com/cricketers/gary-gilmour-5396
Jeff Thomson,https://www.espncricinfo.com/cricketers/jeff-thomson-7946
Max Walker,https://www.espncricinfo.com/cricketers/max-walker-8137
Greg Chappell,https://www.espncricinfo.com/cricketers/greg-chappell-4558
Doug Walters,https://www.espncricinfo.com/cricketers/doug-walters-8151
Bernard Julien,https://www.espncricinfo.com/cricketers/bernard-julien-52208
Andy Roberts,https://www.espncricinfo.com/cricketers/andy-roberts-52817
Keith Boyce,https://www.espncricinfo.com/cricketers/keith-boyce-51229
Vanburn Holder,https://www.espncricinfo.com/cricketers/vanburn-holder-52061
Clive Lloyd,https://www.espncricinfo.com/cricketers/clive-lloyd-52345
Geoff Arnold,https://www.espncricinfo.com/cricketers/geoff-arnold-8566
John Snow,https://www.espncricinfo.com/cricketers/john-snow-20282
Chris Old,https://www.espncricinfo.com/cricketers/chris-old-18256
Peter Lever,https://www.espncricinfo.com/cricketers/peter-lever-16262
Richard Collinge,https://www.espncricinfo.com/cricketers/richard-collinge-36606
Dayle Hadlee,https://www.espncricinfo.com/cricketers/dayle-hadlee-37222
Lance Cairns,https://www.espncricinfo.com/cricketers/lance-cairns-36595
Brian McKechnie,https://www.espncricinfo.com/cricketers/brian-mckechnie-37707
Hedley Howarth,https://www.espncricinfo.com/cricketers/hedley-howarth-37255
Frasat Ali,https://www.espncricinfo.com/cricketers/frasat-ali-23950
Don Pringle,https://www.espncricinfo.com/cricketers/don-pringle-23969
Parbhu Nana,https://www.espncricinfo.com/cricketers/parbhu-nana-23965
Ramesh Sethi,https://www.espncricinfo.com/cricketers/ramesh-sethi-23972
Zulfiqar Ali,https://www.espncricinfo.com/cricketers/zulfiqar-ali-23977
Mehmood Quaraishy,https://www.espncricinfo.com/cricketers/mehmood-quaraishy-23961
Derek Underwood,https://www.espncricinfo.com/cricketers/derek-underwood-22149
Barry Wood,https://www.espncricinfo.com/cricketers/barry-wood-22498
Tony Greig,https://www.espncricinfo.com/cricketers/tony-greig-13463
Richard Hadlee,https://www.espncricinfo.com/cricketers/richard-hadlee-37224
Madan Lal,https://www.espncricinfo.com/cricketers/madan-lal-30873
Mohinder Amarnath,https://www.espncricinfo.com/cricketers/mohinder-amarnath-26225
Bishan Bedi,https://www.espncricinfo.com/cricketers/bishan-bedi-26875
Syed Abid Ali,https://www.espncricinfo.com/cricketers/syed-abid-ali-26169
Srinivas Venkataraghavan,https://www.espncricinfo.com/cricketers/srinivas-venkataraghavan-35656
Eknath Solkar,https://www.espncricinfo.com/cricketers/eknath-solkar-34085
Viv Richards,https://www.espncricinfo.com/cricketers/viv-richards-52812
Ashley Mallett,https://www.espncricinfo.com/cricketers/ashley-mallett-6472
Ian Chappell,https://www.espncricinfo.com/cricketers/ian-chappell-4560
Tony Opatha,https://www.espncricinfo.com/cricketers/tony-opatha-49849
Mevan Pieris,https://www.espncricinfo.com/cricketers/mevan-pieris-49861
Ajit de Silva,https://www.espncricinfo.com/cricketers/ajit-de-silva-48458
Somachandra De Silva,https://www.espncricinfo.com/cricketers/somachandra-de-silva-48454
Lalith Kaluperuma,https://www.espncricinfo.com/cricketers/lalith-kaluperuma-49487
Bandula Warnapura,https://www.espncricinfo.com/cricketers/bandula-warnapura-50835
Anura Ranasinghe,https://www.espncricinfo.com/cricketers/anura-ranasinghe-50241
Asif Masood,https://www.espncricinfo.com/cricketers/asif-masood-39012
Imran Khan,https://www.espncricinfo.com/cricketers/imran-khan-40560
