VS,Batting, ,Batting Possition,Match Id,Teaminnings,R,B,M,4s,6s,SR
Australia VS West Indies,Roy Fredericks ,hit wicket b Lillee,1,ODI # 33,West Indies,7,13,14,0,0,53.84
Australia VS West Indies,Gordon Greenidge ,c †Marsh b Thomson,2,ODI # 33,West Indies,13,61,80,1,0,21.31
Australia VS West Indies,Alvin Kallicharran ,c †Marsh b Gilmour,3,ODI # 33,West Indies,12,18,26,2,0,66.66
Australia VS West Indies,Rohan Kanhai , b Gilmour,4,ODI # 33,West Indies,55,105,156,8,0,52.38
Australia VS West Indies,Clive Lloyd (c),c †Marsh b Gilmour,5,ODI # 33,West Indies,102,85,108,12,2,120.00
Australia VS West Indies,Viv Richards , b Gilmour,6,ODI # 33,West Indies,5,11,12,1,0,45.45
Australia VS West Indies,Keith Boyce ,c GS Chappell b Thomson,7,ODI # 33,West Indies,34,37,43,3,0,91.89
Australia VS West Indies,Bernard Julien ,not out ,8,ODI # 33,West Indies,26,37,54,1,0,70.27
Australia VS West Indies,Deryck Murray †,c & b Gilmour,9,ODI # 33,West Indies,14,10,11,1,1,140.00
Australia VS West Indies,Vanburn Holder ,not out ,10,ODI # 33,West Indies,6,2,1,1,0,300.00
Australia VS West Indies,Alan Turner ,run out (Richards),1,ODI # 33,Australia,40,54,85,4,0,74.07
Australia VS West Indies,Rick McCosker ,c Kallicharran b Boyce,2,ODI # 33,Australia,7,24,29,1,0,29.16
Australia VS West Indies,Ian Chappell (c),run out (Richards/Lloyd),3,ODI # 33,Australia,62,93,125,6,0,66.66
Australia VS West Indies,Greg Chappell ,run out (Richards),4,ODI # 33,Australia,15,23,24,2,0,65.21
Australia VS West Indies,Doug Walters , b Lloyd,5,ODI # 33,Australia,35,51,52,5,0,68.62
Australia VS West Indies,Rod Marsh †, b Boyce,6,ODI # 33,Australia,11,24,34,0,0,45.83
Australia VS West Indies,Ross Edwards ,c Fredericks b Boyce,7,ODI # 33,Australia,28,37,51,2,0,75.67
Australia VS West Indies,Gary Gilmour ,c Kanhai b Boyce,8,ODI # 33,Australia,14,11,16,2,0,127.27
Australia VS West Indies,Max Walker ,run out (Holder),9,ODI # 33,Australia,7,9,10,1,0,77.77
Australia VS West Indies,Jeff Thomson ,run out (†Murray),10,ODI # 33,Australia,21,21,32,2,0,100.00
Australia VS West Indies,Dennis Lillee ,not out ,11,ODI # 33,Australia,16,19,29,1,0,84.21
England VS Australia,Dennis Amiss ,lbw b Gilmour,1,ODI # 31,England,2,7,11,0,0,28.57
England VS Australia,Barry Wood , b Gilmour,2,ODI # 31,England,6,19,29,1,0,31.57
England VS Australia,Keith Fletcher ,lbw b Gilmour,3,ODI # 31,England,8,45,59,0,0,17.77
England VS Australia,Tony Greig ,c †Marsh b Gilmour,4,ODI # 31,England,7,25,24,1,0,28.00
England VS Australia,Frank Hayes ,lbw b Gilmour,5,ODI # 31,England,4,6,9,1,0,66.66
England VS Australia,Mike Denness (c), b Walker,6,ODI # 31,England,27,60,70,1,0,45.00
England VS Australia,Alan Knott †,lbw b Gilmour,7,ODI # 31,England,0,5,3,0,0,0.00
England VS Australia,Chris Old ,c GS Chappell b Walker,8,ODI # 31,England,0,3,4,0,0,0.00
England VS Australia,John Snow ,c †Marsh b Lillee,9,ODI # 31,England,2,14,22,0,0,14.28
England VS Australia,Geoff Arnold ,not out ,10,ODI # 31,England,18,30,47,2,0,60.00
England VS Australia,Peter Lever ,lbw b Walker,11,ODI # 31,England,5,13,15,0,0,38.46
England VS Australia,Alan Turner ,lbw b Arnold,1,ODI # 31,Australia,7,20,32,0,0,35.00
England VS Australia,Rick McCosker , b Old,2,ODI # 31,Australia,15,50,65,0,0,30.00
England VS Australia,Ian Chappell (c),lbw b Snow,3,ODI # 31,Australia,2,19,18,0,0,10.52
England VS Australia,Greg Chappell ,lbw b Snow,4,ODI # 31,Australia,4,9,8,1,0,44.44
England VS Australia,Doug Walters ,not out ,5,ODI # 31,Australia,20,43,60,2,0,46.51
England VS Australia,Ross Edwards , b Old,6,ODI # 31,Australia,0,3,2,0,0,0.00
England VS Australia,Rod Marsh †, b Old,7,ODI # 31,Australia,5,8,7,0,0,62.50
England VS Australia,Gary Gilmour ,not out ,8,ODI # 31,Australia,28,28,44,5,0,100.00
New Zealand VS West Indies,Glenn Turner (c),c Kanhai b Roberts,1,ODI # 32,New Zealand,36,74,-,3,0,48.64
New Zealand VS West Indies,John Morrison ,lbw b Julien,2,ODI # 32,New Zealand,5,26,-,0,0,19.23
New Zealand VS West Indies,Geoff Howarth ,c †Murray b Roberts,3,ODI # 32,New Zealand,51,93,-,3,0,54.83
New Zealand VS West Indies,John Parker , b Lloyd,4,ODI # 32,New Zealand,3,12,-,0,0,25.00
New Zealand VS West Indies,Brian Hastings ,not out ,5,ODI # 32,New Zealand,24,57,-,4,0,42.10
New Zealand VS West Indies,Ken Wadsworth †,c Lloyd b Julien,6,ODI # 32,New Zealand,11,21,-,1,0,52.38
New Zealand VS West Indies,Brian McKechnie ,lbw b Julien,7,ODI # 32,New Zealand,1,9,-,0,0,11.11
New Zealand VS West Indies,Dayle Hadlee ,c Holder b Julien,8,ODI # 32,New Zealand,0,10,-,0,0,0.00
New Zealand VS West Indies,Lance Cairns , b Holder,9,ODI # 32,New Zealand,10,14,-,1,0,71.42
New Zealand VS West Indies,Hedley Howarth , b Holder,10,ODI # 32,New Zealand,0,1,-,0,0,0.00
New Zealand VS West Indies,Richard Collinge , b Holder,11,ODI # 32,New Zealand,2,4,-,0,0,50.00
New Zealand VS West Indies,Roy Fredericks ,c Hastings b Hadlee,1,ODI # 32,West Indies,6,14,-,0,0,42.85
New Zealand VS West Indies,Gordon Greenidge ,lbw b Collinge,2,ODI # 32,West Indies,55,95,-,9,1,57.89
New Zealand VS West Indies,Alvin Kallicharran ,c & b Collinge,3,ODI # 32,West Indies,72,92,-,7,1,78.26
New Zealand VS West Indies,Viv Richards ,lbw b Collinge,4,ODI # 32,West Indies,5,10,-,1,0,50.00
New Zealand VS West Indies,Rohan Kanhai ,not out ,5,ODI # 32,West Indies,12,18,-,2,0,66.66
New Zealand VS West Indies,Clive Lloyd (c),c Hastings b McKechnie,6,ODI # 32,West Indies,3,8,-,0,0,37.50
New Zealand VS West Indies,Bernard Julien ,not out ,7,ODI # 32,West Indies,4,5,-,1,0,80.00
England VS East Africa,Barry Wood , b Mehmood Quaraishy,1,ODI # 27,England,77,138,144,6,0,55.79
England VS East Africa,Dennis Amiss ,c Nana b Zulfiqar Ali,2,ODI # 27,England,88,116,118,7,0,75.86
England VS East Africa,Frank Hayes , b Zulfiqar Ali,3,ODI # 27,England,52,50,50,6,2,104.00
England VS East Africa,Tony Greig ,lbw b Zulfiqar Ali,4,ODI # 27,England,9,17,16,0,0,52.94
England VS East Africa,Alan Knott †,not out ,5,ODI # 27,England,18,19,28,0,0,94.73
England VS East Africa,Chris Old , b Mehmood Quaraishy,6,ODI # 27,England,18,16,16,3,0,112.50
England VS East Africa,Mike Denness (c),not out ,7,ODI # 27,England,12,6,4,1,0,200.00
England VS East Africa,Frasat Ali , b Snow,1,ODI # 27,East Africa,0,17,18,0,0,0.00
England VS East Africa,Samuel Walusimbi ,lbw b Snow,2,ODI # 27,East Africa,7,30,46,0,0,23.33
England VS East Africa,Yunus Badat , b Snow,3,ODI # 27,East Africa,0,3,1,0,0,0.00
England VS East Africa,Jawahir Shah ,lbw b Snow,4,ODI # 27,East Africa,4,13,14,0,0,30.76
England VS East Africa,Ramesh Sethi , b Lever,5,ODI # 27,East Africa,30,102,103,3,0,29.41
England VS East Africa,Harilal Shah (c), b Greig,6,ODI # 27,East Africa,6,53,52,0,0,11.32
England VS East Africa,Mehmood Quaraishy ,c Amiss b Greig,7,ODI # 27,East Africa,19,41,43,2,0,46.34
England VS East Africa,Zulfiqar Ali , b Lever,8,ODI # 27,East Africa,7,22,27,0,0,31.81
England VS East Africa,Hamish McLeod †, b Lever,9,ODI # 27,East Africa,0,2,3,0,0,0.00
England VS East Africa,Parbhu Nana ,not out ,10,ODI # 27,East Africa,8,28,33,0,0,28.57
