VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
Australia VS West Indies,ODI # 33,Dennis Lillee,12,West Indies,1,55,1,4.58,-,-,-,0,0
Australia VS West Indies,ODI # 33,Gary Gilmour,12,West Indies,2,48,5,4.00,-,-,-,0,0
Australia VS West Indies,ODI # 33,Jeff Thomson,12,West Indies,1,44,2,3.66,-,-,-,0,0
Australia VS West Indies,ODI # 33,Max Walker,12,West Indies,1,71,0,5.91,-,-,-,0,0
Australia VS West Indies,ODI # 33,Greg Chappell,7,West Indies,0,33,0,4.71,-,-,-,0,0
Australia VS West Indies,ODI # 33,Doug Walters,5,West Indies,0,23,0,4.60,-,-,-,0,0
Australia VS West Indies,ODI # 33,Bernard Julien,12,Australia,0,58,0,4.83,-,-,-,0,0
Australia VS West Indies,ODI # 33,Andy Roberts,11,Australia,1,45,0,4.09,-,-,-,0,0
Australia VS West Indies,ODI # 33,Keith Boyce,12,Australia,0,50,4,4.16,-,-,-,0,0
Australia VS West Indies,ODI # 33,Vanburn Holder,11.4,Australia,1,65,0,5.57,-,-,-,0,0
Australia VS West Indies,ODI # 33,Clive Lloyd,12,Australia,1,38,1,3.16,-,-,-,0,0
England VS Australia,ODI # 31,Dennis Lillee,9,England,3,26,1,2.88,-,-,-,0,0
England VS Australia,ODI # 31,Gary Gilmour,12,England,6,14,6,1.16,-,-,-,0,0
England VS Australia,ODI # 31,Max Walker,9.2,England,3,22,3,2.35,-,-,-,0,0
England VS Australia,ODI # 31,Jeff Thomson,6,England,0,17,0,2.83,-,-,-,0,0
England VS Australia,ODI # 31,Geoff Arnold,7.4,Australia,2,15,1,1.95,-,-,-,0,0
England VS Australia,ODI # 31,John Snow,12,Australia,0,30,2,2.50,-,-,-,0,0
England VS Australia,ODI # 31,Chris Old,7,Australia,2,29,3,4.14,-,-,-,0,0
England VS Australia,ODI # 31,Peter Lever,2,Australia,0,7,0,3.50,-,-,-,0,0
New Zealand VS West Indies,ODI # 32,Bernard Julien,12,New Zealand,5,27,4,2.25,-,-,-,0,0
New Zealand VS West Indies,ODI # 32,Andy Roberts,11,New Zealand,3,18,2,1.63,-,-,-,0,0
New Zealand VS West Indies,ODI # 32,Vanburn Holder,8.2,New Zealand,0,30,3,3.60,-,-,-,0,0
