Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Australia VS New Zealand,Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015",ODI # 3646,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-new-zealand-final-656495/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
Australia VS India,Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-india-2nd-semi-final-656493/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
New Zealand VS South Africa,New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015",ODI # 3644,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-south-africa-1st-semi-final-656491/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792
New Zealand VS West Indies,New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015",ODI # 3643,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/new-zealand-vs-west-indies-4th-quarter-final-656489/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sky-stadium-wellington-58899
Australia VS Pakistan,Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015",ODI # 3642,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-pakistan-3rd-quarter-final-656487/full-scorecard,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293
Bangladesh VS India,Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015",ODI # 3641,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/bangladesh-vs-india-2nd-quarter-final-656485/full-scorecard,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441
South Africa VS Sri Lanka,South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015",ODI # 3640,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/south-africa-vs-sri-lanka-1st-quarter-final-656483/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544
Ireland VS Pakistan,Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015",ODI # 3639,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/ireland-vs-pakistan-42nd-match-pool-b-656481/full-scorecard,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293
U.A.E. VS West Indies,U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015",ODI # 3638,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/united-arab-emirates-vs-west-indies-41st-match-pool-b-656479/full-scorecard,https://www.espncricinfo.com/cricket-grounds/mclean-park-napier-58857
Australia VS Scotland,Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015",ODI # 3637,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/australia-vs-scotland-40th-match-pool-a-656477/full-scorecard,https://www.espncricinfo.com/cricket-grounds/bellerive-oval-hobart-56407
India VS Zimbabwe,India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",ODI # 3636,https://www.espncricinfo.com/series/icc-cricket-world-cup-2014-15-509587/india-vs-zimbabwe-39th-match-pool-b-656475/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792
